公告id,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
100829,成都美好房屋开发有限公司,美好房屋,2015-03-23,,13170938,,
100829,成都美好房屋开发有限公司,美好房屋,2015-03-19,,290000,,
1011117,长和投资有限公司,长和投资,2013-12-05,8.1,7000000,,
1011117,长和投资有限公司,长和投资,2014-01-02,8.4,10000000,,
1011117,长和投资有限公司,长和投资,2014-01-03,8.1,10000000,,
1011117,长和投资有限公司,长和投资,2014-01-24,8.1,16175500,136064869,0.1576
1017335,新疆日月投资股份有限公司,日月投资,2013-01-15,,8505200,,
1017335,新疆日月投资股份有限公司,日月投资,2014-01-23,,22000000,87918629,0.1246
1032413,浪莎控股集团有限公司,浪莎集团,2012-01-04,,200000,41495355,0.4268
1032787,李跃宗,,2014-01-14,13.7,748000,2244800,0.0168
1032787,李琛,,2014-01-15,16.6,191450,,
1032787,杰得投资,,2014-01-15,14.8,2000000,,
1032787,希旭投资,,2014-01-14,13.7,1650000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-08,19.2,2500000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-10,20.2,1000000,,
1035043,广州市有达投资有限公司,有达投资,2014-01-13,19.6,2000000,20316133,0.0518
105149,江苏沙钢集团有限公司,沙钢集团,2013-07-31,8.27,1880000,,
105149,江苏沙钢集团有限公司,沙钢集团,2015-03-24,14.8,1708800,10495000,0.053
1060689,长和投资有限公司,长和投资,2013-12-05,8.1,7000000,,
1060689,长和投资有限公司,长和投资,2014-01-02,8.4,10000000,,
1060689,长和投资有限公司,长和投资,2014-01-03,8.1,10000000,152240369,0.1763
1087592,华仪电器集团有限公司,华仪集团,2013-12-19,,4800000,,
1087592,华仪电器集团有限公司,华仪集团,2013-09-17,,5000000,184002500,0.3492
1089999,美欣达集团有限公司,美欣达集团,2012-12-03,7.71,150000,,
1089999,美欣达集团有限公司,美欣达集团,2012-12-04,7.89,105000,,
1089999,美欣达集团有限公司,美欣达集团,2012-12-05,8.10,89311,,
1090777,福建稀土集团,,2013-12-04,29.93,6459562,,
1092460,巨化集团公司,,2012-11-30,,1256112,,
1092460,巨化集团公司,,2013-10-29,,1425458,,
1092460,浙江巨化投资有限公司,巨化投资公司,2013-11-29,,25756595,,
