html文件,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
1013569.html,新疆网维投资咨询有限公司,新疆网维,2013-08-06,14.06,1000000,,
1013569.html,新疆网维投资咨询有限公司,新疆网维,2013-08-23,14.10,4250000,15765540,0.0857
10164.html,彩虹集团电子股份有限公司,彩虹电子,2014-05-28,,4000000,,
10164.html,彩虹集团电子股份有限公司,彩虹电子,2014-05-30,,5000000,146004798,0.1982
1016439.html,上海中科合臣化学有限责任公司,化学公司,2013-12-06,11.04,13000000,,
1016439.html,上海中科合臣化学有限责任公司,化学公司,2014-01-20,10.59,20000000,,
1016439.html,上海中科合臣化学有限责任公司,化学公司,2014-01-24,10.61,7700000,,
1016439.html,上海中科合臣化学有限责任公司,化学公司,2014-01-24,10.61,2080000,,
1016439.html,上海中科合臣化学有限责任公司,化学公司,2014-01-24,10.61,720000,,
1018217.html,苏州天马医药集团有限公司,天马集团,2014-01-23,11.00,14282500,,
1019723.html,中国长城资产管理公司,长城公司,2013-12-27,27.68,92401,,
1019723.html,中国长城资产管理公司,长城公司,2013-12-30,27.47,625975,,
1019723.html,中国长城资产管理公司,长城公司,2014-01-10,28.04,25940,,
1019723.html,中国长城资产管理公司,长城公司,2014-01-14,30.09,1000000,8542450,4.92
1021022.html,人申能集团财务有限公司,财务公司,2013-07-22,,3753000,,
10243.html,青岛保税区千业贸易有限公司,青岛千业,2014年8月,20.96,305000,,
10243.html,青岛保税区千业贸易有限公司,青岛千业,2014年9月,22.41,1190000,,
10243.html,青岛保税区千业贸易有限公司,青岛千业,2014年10月,24.70,55000,,
10243.html,青岛保税区千业贸易有限公司,青岛千业,2015年1月,24.04,110000,,
10243.html,青岛保税区千业贸易有限公司,青岛千业,2015年2月,24.62,340000,,
1032507.html,巨化投资公司,,2014-01-14,,4239733,1031281512,0.5695
1035869.html,广东榕泰高级瓷具有限公司,榕泰瓷具,2014-01-10,,1198022,137084572,0.2278
1038693.html,北京汽车集团有限公司,北汽集团,2013-11-13,,666240,,
1038693.html,北京汽车集团有限公司,北汽集团,2013-11-14,,4233554,,
1038693.html,北京汽车集团有限公司,北汽集团,2013-11-15,,254000,,
1038693.html,北京汽车集团有限公司,北汽集团,2013-07-04,,13260864,,
1038693.html,北京汽车集团有限公司,北汽集团,2014-01-06,,4240060,,
1038693.html,北京汽车集团有限公司,北汽集团,2014-01-07,,3883036,,
1038693.html,北京汽车集团有限公司,北汽集团,2014-01-08,,2355984,,
1038957.html,海南原龙投资有限公司,海南原龙,2014-01-03,37.26,2600000,,
1038957.html,海南原龙投资有限公司,海南原龙,2014-01-09,37.43,2000000,,
1040402.html,广东省广新控股集团有限公司,广新集团,2014-01-07,37.46,4026148,,
1043229.html,广州市有达投资有限公司,有达投资,2014-01-06,18.32,2500000,,
1043229.html,广州市有达投资有限公司,有达投资,2014-01-07,17.69,2500000,25816133,0.0658
1043888.html,新疆科士达股权投资合伙企业（有限合伙）,新疆科士达,2014-01-06,18.00,10000000,127448000,60.03
10503109.html,银联科技有限公司,银联科技,2016-07-20,65.79,1000000,,
10503109.html,银联科技有限公司,银联科技,2016-07-26,61.65,1000000,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-10,,970000,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-11,,450000,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-12,,280000,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-13,,9900,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-06,,350560,,
1053434.html,卧龙控股集团有限公司,卧龙控股,2012-12-07,,1310000,6634610,0.0091
1061641.html,西藏翔实,,2013-11-28,10.81,526000,,
1061641.html,西藏翔实,,2014-01-02,12.89,700000,,
1062117.html,新疆利能股权投资管理合伙企业(有限合伙),新疆利能,2013-12-31,8.6元,6000000,,
1066699.html,浙江新湖集团股份有限公司,新湖集团,2013-12-31,,1,3598372636,
1067005.html,兰州亚太,,2009-12-02,5.339,5.339,,
1069334.html,长春高新超达投资有限公司,,2013-12-30,,500000,,
1069950.html,上海天纪投资有限公司,上海天纪,2013-12-30,,1100000,,
107140.html,DTHealthcare,,2015-03-25,141.38元/股,1548000,,
107140.html,DTHealthcare,,2015-03-26,62.16元/股,4305000,,
107140.html,长三角创投,,2015-03-25,141.38元/股,387000,,
107140.html,长三角创投,,2015-03-26,62.16元/股,1076250,,
107140.html,重庆德同创业投资中心（有限合伙）,重庆德同,2015-03-25,141.38元/股,645000,,
1074260.html,三环集团公司,三环集团,2008-10-10,,139248,,
1074260.html,三环集团公司,三环集团,2009-10-09,,574292,92083531,0.3227
1075658.html,上海紫江（集团）有限公司,紫江集团,2013-12-27,7.06,22416,,
1075658.html,上海紫江（集团）有限公司,紫江集团,2013-12-27,7.00,7150000,,
10789690.html,南通友谊实业有限公司,南通友谊,2016-07-27,13.44,3000000,120107072,0.0496
1079974.html,福建亿力电力科技股份有限公司,亿力科技,2009-02-06,,2050000,,
10806138.html,廊坊市投资控股集团有限公司,廊坊控股,2016-08-02,,600000,51330000,0.135
10808495.html,金石投资有限公司,金石投资,2016-08-01,85.226,118400,,
1087509.html,中国长城资产管理公司,长城公司,2013-05-15,16.08,1649200,,
1087509.html,中国长城资产管理公司,长城公司,2013-05-15,16.39,2000000,,
1087509.html,中国长城资产管理公司,长城公司,2013-08-29,20.60,1649200,,
1087509.html,中国长城资产管理公司,长城公司,2013-10-28,24.76,1500000,11286800,6.5
1087870.html,新余鼎汉电气科技有限公司,鼎汉电气,2013-10-10,,10000000,,
1087870.html,新余鼎汉电气科技有限公司,鼎汉电气,2014-04-10,,18600000,,
1091574.html,--浙江大学创业投资有限公司,浙大创投,2013-12-03,8.3,900000,8347916,0.0464
1092021.html,广运投资有限公司,广运投资,10月31日,14.15,410000,,
1092021.html,广运投资有限公司,广运投资,11月30日,16.34,922000,,
1092026.html,新疆荣旭泰投资有限合伙企业,,2013-11-18,8.74,700000,,
1092026.html,新疆荣旭泰投资有限合伙企业,,2013-11-20,8.80,674000,,
1092026.html,新疆荣旭泰投资有限合伙企业,,2013-11-29,9.40,700000,,
1092530.html,天津东方富海股权投资基金合伙企业（有限合伙）,东方富海,2013-11-13,30.86,239720,,
1092530.html,天津东方富海股权投资基金合伙企业（有限合伙）,东方富海,2013-11-14,32.50,328930,,
1092530.html,天津东方富海股权投资基金合伙企业（有限合伙）,东方富海,2013-11-28,38.38,1350,,
1092530.html,天津东方富海股权投资基金合伙企业（有限合伙）,东方富海,2013-11-28,37.15,508771,,
1092913.html,九华投资购买,,2012-12-05,6.741,3458135,,
1092913.html,公司部分董事、监事、高管委托九华投资购买,,2012-12-05,7.062,757849,,
1092913.html,九华投资购买,,2013-04-10,10.71,1814535,,
1092913.html,公司部分董事、监事、高管委托九华投资购买,,2013-05-14,12.31,182764,,
1092913.html,九华投资一致行动人公司监事覃晓凤购买,,2013-11-18,9.56,5000,,
1093438.html,西藏翔实,,2013-11-20,9.77,900000,,
1093438.html,西藏翔实,,2013-11-26,10.06,500000,,
1094025.html,中国物资储运总公司,中储总公司,2012-11-23,,320000,,
1094409.html,新疆广泰空港股权投资有限合伙企业,新疆广泰,2013-11-19,9.00元,6000000,,
1094409.html,新疆广泰空港股权投资有限合伙企业,新疆广泰,2013-11-20,10.10元,3000000,,
1094662.html,浙江富春江通信集团有限公司,通信集团,2012-07-06,,520000,,
1095401.html,广州科技创业投资有限公司,科创投,2013-11-07,15.47,347267,,
1095401.html,广州科技创业投资有限公司,科创投,2013-11-11,15.53,148000,,
1095401.html,广州科技创业投资有限公司,科创投,2013-11-12,16.32,907500,,
1095401.html,广州科技创业投资有限公司,科创投,2013-11-13,16.83,498500,16631533,0.1124
1095484.html,天津开发区德源投资发展有限公司,德源投资,2013-11-13,,100000,100000,0.0003
1096131.html,香港优创国际投资集团有限公司,香港优创,2013-11-11,3.79,28000000,,
1096131.html,香港优创国际投资集团有限公司,香港优创,2013-11-12,3.77,27990000,,
1096191.html,义海能源,,2013-11-07,10.45,627543188,,
1096341.html,远东控股集团有限公司,远东控股,2012-11-16,,94600,,
1097075.html,天津金益投资担保有限责任公司,金益公司,2013-11-01,,232390,93710608,0.5136
1097156.html,——安徽亚夏实业股份有限公司,安徽亚夏,2012-11-28,,1200000,,
1097156.html,——安徽亚夏实业股份有限公司,安徽亚夏,2013-10-30,,854340,,
1097156.html,——安徽亚夏实业股份有限公司,安徽亚夏,2013-10-31,,683300,,
1097156.html,——安徽亚夏实业股份有限公司,安徽亚夏,2013年6月,,1560000,,
1100114.html,江门市联星实业发展总公司,联星实业,2013-10-23,14.90,2700000,,
1100114.html,江门市联星实业发展总公司,联星实业,2013-10-23,14.90,2200000,,
1101307.html,新疆维吾尔自治区畜牧科学院,畜科院,2013-10-18,8.62,2000000,,
1101967.html,新融创业,,2013-10-11,8.80,5000000,19000000,
1102784.html,日喀则市世荣投资管理有限公司,,2013-09-25,7.30,3200000,,
1102784.html,日喀则市世荣投资管理有限公司,,2013-09-27,6.94,5567187,,
1102787.html,上海华中实业（集团）有限公司,华中实业,2013-09-30,23.49,207300,,
1102787.html,上海华中实业（集团）有限公司,华中实业,2013-09-30,22.92,2350000,4062220,0.0474
1103534.html,上海锦江国际酒店发展股份有限公司,锦江股份,2013-03-26,9.756,5000000,,
1103534.html,上海锦江国际酒店发展股份有限公司,锦江股份,2013-09-24,9.204,9300000,,
1103534.html,上海锦江国际投资管理有限公司,锦江国投,2013-03-26,10.128,11750000,,
1103971.html,香港优创国际投资集团有限公司,香港优创,2013-09-23,3.90,55990000,,
1104171.html,允公投资,,2013/9/16,16.22,15900000,28235000,0.0886
1104241.html,远东控股集团有限公司,远东控股,2012-11-16,,94600,,
1104297.html,洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）,,2013-09-13,,2750000,,
1104728.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2013-09-09,11.34,500000,,
